module,candidate,kind,first_string_index
,__metaclass__,function_or_attr,5
,__abstractmethods__,function_or_attr,6
,__closure__,function_or_attr,7
,__enter__,function_or_attr,12
,__exit__,function_or_attr,13
,__builtins__,function_or_attr,14
,__all__,function_or_attr,15
,__cmp__,function_or_attr,17
,__iter__,function_or_attr,18
,__compiled__,function_or_attr,20
,__nuitka__,function_or_attr,21
,inspect,function_or_attr,22
,compile,function_or_attr,23
,range,function_or_attr,24
,super,function_or_attr,26
,sum,function_or_attr,27
,__import__,function_or_attr,29
,bytearray,function_or_attr,30
,staticmethod,function_or_attr,31
,classmethod,function_or_attr,32
,name,function_or_attr,35
,globals,function_or_attr,36
,locals,function_or_attr,37
,fromlist,function_or_attr,38
,level,function_or_attr,39
,path,function_or_attr,48
,basename,function_or_attr,49
,dirname,function_or_attr,50
,abspath,function_or_attr,51
,isabs,function_or_attr,52
,normpath,function_or_attr,53
,exists,function_or_attr,54
,isdir,function_or_attr,55
,isfile,function_or_attr,56
,listdir,function_or_attr,57
,stat,function_or_attr,58
,lstat,function_or_attr,59
,close,function_or_attr,60
,getattr,function_or_attr,61
,__cached__,function_or_attr,62
,print,function_or_attr,63
,end,function_or_attr,64
,file,function_or_attr,65
,bytes,function_or_attr,66
,__annotations__,function_or_attr,69
,send,function_or_attr,70
,throw,function_or_attr,71
,site,function_or_attr,72
,type,function_or_attr,73
,len,function_or_attr,74
,repr,function_or_attr,75
,int,function_or_attr,76
,iter,function_or_attr,77
,_initializing,function_or_attr,79
,parent,function_or_attr,80
,types,function_or_attr,81
,ascii,function_or_attr,82
,punycode,function_or_attr,83
,__main__,function_or_attr,84
,as_file,function_or_attr,85
,register,function_or_attr,86
,__class_getitem__,function_or_attr,87
,reconfigure,function_or_attr,88
,encoding,function_or_attr,89
,line_buffering,function_or_attr,90
,__match_args__,function_or_attr,91
,__aenter__,function_or_attr,92
,__aexit__,function_or_attr,93
,fileno,function_or_attr,95
,python.exe,qualname,96
,attrs,function_or_attr,97
,attr,function_or_attr,98
__main__,resources,function_or_attr,1
__main__,icon.ico,qualname,2
__main__,executable,function_or_attr,3
__main__,frozen,function_or_attr,5
__main__,onefile_,function_or_attr,6
__main__,startswith,function_or_attr,7
__main__,logger,function_or_attr,9
__main__,info,function_or_attr,10
__main__,shutil,function_or_attr,12
__main__,rmtree,function_or_attr,13
__main__,ignore_errors,function_or_attr,14
__main__,error,function_or_attr,16
__main__,containing_dir,function_or_attr,19
__main__,argv,function_or_attr,21
__main__,__mro_entries__,function_or_attr,28
__main__,bases,function_or_attr,29
__main__,windll,function_or_attr,30
__main__,shell32,function_or_attr,31
__main__,SetCurrentProcessExplicitAppUserModelID,class_or_import,32
__main__,warning,function_or_attr,35
__main__,QApplication,class_or_import,37
__main__,app,function_or_attr,38
__main__,KortexWorker,class_or_import,40
__main__,Fusion,class_or_import,44
__main__,get_work_directory,function_or_attr,45
__main__,work_dir,function_or_attr,46
__main__,resolve_app_icon_path,function_or_attr,48
__main__,QIcon,class_or_import,49
__main__,config,function_or_attr,55
__main__,ConfigManager,class_or_import,58
__main__,config_manager,function_or_attr,59
__main__,LicenseClient,class_or_import,61
__main__,license_client,function_or_attr,62
__main__,LicenseExpiredSignal,class_or_import,63
__main__,license_signal,function_or_attr,64
__main__,expired,function_or_attr,65
__main__,handle_license_expiration,function_or_attr,67
__main__,main_window,function_or_attr,68
__main__,validate,function_or_attr,69
__main__,show_activation_dialog,function_or_attr,72
__main__,QMessageBox,class_or_import,75
__main__,Icon,class_or_import,77
__main__,Warning,class_or_import,78
__main__,StandardButton,class_or_import,86
__main__,exec,function_or_attr,88
__main__,ActivationDialog,class_or_import,89
__main__,DialogCode,class_or_import,90
__main__,Accepted,class_or_import,91
__main__,fishing_tab,function_or_attr,96
__main__,_fishing_bot,function_or_attr,97
__main__,running,function_or_attr,98
__main__,is_running,function_or_attr,101
__main__,send_license_expired_notification,function_or_attr,102
__main__,hide,function_or_attr,105
__main__,expired_message,function_or_attr,106
__main__,show,function_or_attr,108
__main__,start_background_check,function_or_attr,109
__main__,on_license_expired,function_or_attr,110
__main__,quit,function_or_attr,112
__main__,load_telegram_settings,function_or_attr,114
__main__,enabled,function_or_attr,115
__main__,bot_token,function_or_attr,116
__main__,strip,function_or_attr,118
__main__,debug,function_or_attr,119
__main__,chat_id,function_or_attr,121
__main__,admin_ids,function_or_attr,123
__main__,requests,function_or_attr,127
__main__,text,function_or_attr,133
__main__,parse_mode,function_or_attr,134
__main__,HTML,class_or_import,135
__main__,post,function_or_attr,136
__main__,json,function_or_attr,137
__main__,timeout,function_or_attr,138
__main__,status_code,function_or_attr,139
__main__,check_and_activate_license,function_or_attr,144
__main__,MainWindow,class_or_import,146
__main__,stop_background_check,function_or_attr,149
__main__,exception,function_or_attr,151
__main__,Critical,class_or_import,153
__main__,AntiCrack,class_or_import,157
__main__,check_all_comprehensive,function_or_attr,158
__main__,critical,function_or_attr,159
__main__,on_anti_crack_threat,function_or_attr,163
__main__,main.<locals>.on_anti_crack_threat,local_qualname,164
__main__,start_monitoring,function_or_attr,165
__main__,callback,function_or_attr,166
__main__,interval,function_or_attr,167
__main__,atexit,function_or_attr,170
__main__,cleanup_temp_directory,function_or_attr,171
__main__,LicensedApplication,class_or_import,172
__main__,run,function_or_attr,173
__main__,called,function_or_attr,178
__main__,star_arg_dict,function_or_attr,179
__main__,__getitem__,function_or_attr,181
__main__,star_arg_list,function_or_attr,183
__main__,sys,function_or_attr,187
__main__,logging,function_or_attr,189
__main__,ctypes,function_or_attr,190
__main__,PyQt6.QtWidgets,class_qualname,191
__main__,PyQt6.QtCore,class_qualname,194
__main__,QTimer,class_or_import,195
__main__,QObject,class_or_import,196
__main__,PyQt6.QtGui,class_qualname,201
__main__,ui.main_window,qualname,203
__main__,license,function_or_attr,206
__main__,anti_crack_advanced,function_or_attr,209
__main__,INFO,class_or_import,212
__main__,level,function_or_attr,214
__main__,Main,class_or_import,217
__main__,return,function_or_attr,219
__main__,__prepare__,function_or_attr,220
__main__,__qualname__,function_or_attr,224
__main__,str,function_or_attr,225
__main__,__orig_bases__,function_or_attr,226
__main__,LicensedApplication.__init__,qualname,228
__main__,LicensedApplication.check_and_activate_license,qualname,230
__main__,LicensedApplication.show_activation_dialog,qualname,233
__main__,reason,function_or_attr,234
__main__,LicensedApplication.on_license_expired,qualname,235
__main__,LicensedApplication.handle_license_expiration,qualname,236
__main__,LicensedApplication.send_license_expired_notification,qualname,237
__main__,LicensedApplication.run,qualname,239
__main__,main,function_or_attr,240
__main__,main.py,qualname,241
__main__,self,function_or_attr,244
__main__,app_id,function_or_attr,245
__main__,icon_path,function_or_attr,247
__main__,icon,function_or_attr,248
__main__,config_dir,function_or_attr,249
__main__,is_valid,function_or_attr,251
__main__,message,function_or_attr,252
__main__,is_compiled,function_or_attr,253
__main__,exe_path,function_or_attr,254
__main__,temp_dir,function_or_attr,255
__main__,activated,function_or_attr,261
__main__,failed_checks,function_or_attr,263
__main__,threats,function_or_attr,266
__main__,fishing_bot,function_or_attr,270
__main__,candidates,function_or_attr,272
__main__,exit_code,function_or_attr,275
__main__,msg_box,function_or_attr,277
__main__,telegram_settings,function_or_attr,280
__main__,admin_ids_str,function_or_attr,284
__main__,url,function_or_attr,287
__main__,payload,function_or_attr,288
__main__,response,function_or_attr,289
__main__,dialog,function_or_attr,294
__main__,result,function_or_attr,295
__parents_main__,resources,function_or_attr,1
__parents_main__,icon.ico,qualname,2
__parents_main__,executable,function_or_attr,3
__parents_main__,frozen,function_or_attr,5
__parents_main__,onefile_,function_or_attr,6
__parents_main__,startswith,function_or_attr,7
__parents_main__,logger,function_or_attr,9
__parents_main__,info,function_or_attr,10
__parents_main__,shutil,function_or_attr,12
__parents_main__,rmtree,function_or_attr,13
__parents_main__,ignore_errors,function_or_attr,14
__parents_main__,error,function_or_attr,16
__parents_main__,containing_dir,function_or_attr,19
__parents_main__,argv,function_or_attr,21
__parents_main__,windll,function_or_attr,28
__parents_main__,shell32,function_or_attr,29
__parents_main__,SetCurrentProcessExplicitAppUserModelID,class_or_import,30
__parents_main__,warning,function_or_attr,33
__parents_main__,QApplication,class_or_import,35
__parents_main__,app,function_or_attr,36
__parents_main__,KortexWorker,class_or_import,38
__parents_main__,Fusion,class_or_import,42
__parents_main__,get_work_directory,function_or_attr,43
__parents_main__,work_dir,function_or_attr,44
__parents_main__,resolve_app_icon_path,function_or_attr,46
__parents_main__,QIcon,class_or_import,47
__parents_main__,config,function_or_attr,53
__parents_main__,ConfigManager,class_or_import,56
__parents_main__,config_manager,function_or_attr,57
