module,constant_index,count,varnames
__main__,236,1,__class__
__main__,237,6,"self, app_id, e, icon_path, icon, config_dir"
__main__,238,3,"self, is_valid, message"
__main__,241,3,"self, reason, activated"
__main__,244,4,"self, reason, fishing_tab, fishing_bot"
__main__,246,4,"self, exit_code, e, msg_box"
__main__,247,13,"self, reason, telegram_settings, enabled, bot_token, chat_id, admin_ids_str, requests, message, url, payload, response, e"
__main__,248,5,"self, expired_message, msg_box, dialog, result"
__parents_main__,243,1,__class__
__parents_main__,244,6,"self, app_id, e, icon_path, icon, config_dir"
__parents_main__,245,8,"sys, builtins, multiprocessing, kwds, args, arg, name, value"
__parents_main__,246,3,"self, is_valid, message"
__parents_main__,249,3,"self, reason, activated"
__parents_main__,252,4,"self, reason, fishing_tab, fishing_bot"
__parents_main__,254,4,"self, exit_code, e, msg_box"
__parents_main__,255,13,"self, reason, telegram_settings, enabled, bot_token, chat_id, admin_ids_str, requests, message, url, payload, response, e"
__parents_main__,256,5,"self, expired_message, msg_box, dialog, result"
config_manager,62,2,"self, config_dir"
config_manager,63,3,"self, settings, fish_settings"
config_manager,64,3,"self, settings, garbage_settings"
config_manager,65,6,"self, default_settings, f, settings, merged, e"
config_manager,66,5,"self, settings, clean_settings, f, e"
config_manager,67,4,"self, settings, f, e"
license.activation_dialog,232,2,".0, c"
license.activation_dialog,233,3,".0, i, cleaned"
license.activation_dialog,234,2,"self, key"
license.activation_dialog,235,2,"key, self"
license.activation_dialog,236,1,self
license.activation_dialog,238,1,__class__
license.activation_dialog,239,4,"self, license_client, parent, __class__"
license.activation_dialog,240,5,"self, key, success, message, e"
license.activation_dialog,241,5,"self, text, cleaned, formatted, cursor_pos"
license.activation_dialog,242,2,"self, url"
license.activation_dialog,243,6,"self, message, status_type, color, html, scrollbar"
license.activation_dialog,244,20,"self, main_layout, title_label, subtitle_label, hwid_card, hwid_layout, hwid, hwid_title, hwid_value, key_label, button_layout, links_card, links_layout, links_title, tg_layout, tg_label, tg_link, fp_layout, fp_label, fp_link"
license.license_client,275,1,__class__
license.license_client,276,2,"self, config_dir"
license.license_client,277,4,"self, is_valid, message, e"
license.license_client,278,7,"self, expires_at_str, expires_at, now, now_naive, is_valid, e"
license.license_client,279,2,"self, encrypted_data"
license.license_client,280,2,"self, e"
license.license_client,281,2,"self, data"
license.license_client,282,3,"self, reason, e"
license.license_client,283,7,"self, f, encrypted, json_data, data, e, traceback"
license.license_client,284,6,"self, license_data, json_data, encrypted, f, e"
license.license_client,285,9,"self, license_key, url, data, response, result, expires_str, detail, e"
license.license_client,286,1,self
license.license_client,287,2,"self, expiration_callback"
license.license_client,288,9,"self, url, data, response, result, detail, user_msg, frozen_msg, e"
telegram.bot_manager,105,1,__class__
telegram.bot_manager,106,4,"self, token, admin_ids, log_callback"
telegram.bot_manager,107,2,"self, message"
telegram.bot_manager,109,4,"self, notification_manager, _network_error_handler, e"
telegram.bot_manager,110,2,"self, e"
telegram.bot_manager,111,1,self
telegram.notification_manager,132,1,__class__
telegram.notification_manager,133,1,self
telegram.notification_manager,134,4,"self, notification_type, settings, notifications"
telegram.notification_manager,135,5,"self, text, photo, admin_id, e"
telegram.notification_manager,136,4,"self, coro, running_loop, e"
telegram.notification_manager,137,3,"self, bot, admin_ids"
telegram.notification_manager,138,2,"self, text"
telegram.notification_manager,139,6,"self, fish_name, screenshot_bytes, fish_name_ru, text, photo"
telegram.notification_manager,140,4,"self, screenshot_bytes, text, photo"
telegram.notification_manager,141,4,"self, fish_count, shutdown_pending, text"
ui.fish_settings_dialog,167,1,__class__
ui.fish_settings_dialog,168,14,"self, fish_name, fish_display_name, image_path, parent, layout, image_label, pixmap, scaled_pixmap, name_label, toggle_layout, release_label, keep_label, __class__"
ui.fish_settings_dialog,169,3,"self, parent, __class__"
ui.fish_settings_dialog,170,2,"self, card"
ui.fish_settings_dialog,171,4,"self, settings, fish_name, card"
ui.fish_settings_dialog,172,13,"self, layout, title, desc, quick_actions, select_all_btn, deselect_all_btn, scroll, scroll_widget, grid_layout, buttons_layout, cancel_btn, save_btn"
ui.fish_settings_dialog,173,1,self
ui.fish_settings_dialog,174,12,"self, grid_layout, fish_images_dir, fish_list, row, col, max_cols, fish_name, fish_display_name, fish_filename, image_path, card"
ui.fish_settings_dialog,175,3,"self, config, fish_settings"
ui.fish_settings_dialog,176,3,"self, fish_settings, config"
