23aab2da0,__parents_main__-preLoad
23ab05a70,__main__
23ab0ad70,__parents_main__
23c003b30,config_manager
23c621fd0,license.hwid_generator
23c63bab0,license.license_client
23c658710,license.activation_dialog
23e152d50,telegram.bot_manager
23e113b10,telegram.handlers.fish_names_map
23e1194c0,telegram.handlers.fishing_handle
23e11e9d0,telegram.handlers.menu_handler
23e1243e0,telegram.handlers.notifications_
23e126df0,telegram.handlers.screenshot_han
23e12b100,telegram.handlers.system_handler
23e135d90,telegram.notification_manager
23e27d000,ui.fish_settings_dialog
23e29f090,ui.fishing_tab
23e2b1cd0,ui.garbage_settings_dialog
23e2d6140,ui.home_tab
23e2e37c0,ui.hotkey_dialog
23e2f1040,ui.hotkey_listener
23e2f7330,ui.ios_toggle
23e311500,ui.main_window
23e315970,ui.styles
23e3235b0,ui.telegram_tab
23e707a40,workers.fishing.casting_a_fishin
23e71b350,workers.fishing.fish_recognition
23e780c30,workers.fishing.fishing_bot
23e7a69a0,workers.fishing.garbage_disposal
23e7c0770,workers.fishing.hooking
23e7ddc40,workers.fishing.meal_system
23e7fb4a0,workers.fishing.memory_fish_read
23e81e380,workers.fishing.memory_reeling
23e827d60,workers.fishing.path_utils
23e82f430,workers.fishing.store_fish
23e843640,workers.fishing.trigger_monitor
23e8549f0,workers.fishing.window_activator
23e85df00,workers.fishing.window_capture
