module_label,module_init_entry,factory,impl_entry,codevar,line,flags,name_symbol,qual_symbol,varnames_symbol,arg_count,factory_c_line,qualname_hint
__main__,23ab05a70,FUN_23e93df40,DAT_23aaa1c60,_DAT_23ed90d10,29,3,_DAT_23ed8fce8,_DAT_23ed8fb80,_DAT_23ed90308,1,1011,
__main__,23ab05a70,FUN_23e93df40,FUN_23aaf7d20,_DAT_23ed90d00,51,3,_DAT_23ed900b0,_DAT_23ed8fbf0,_DAT_23ed902d8,uVar24,1014,
__main__,23ab05a70,FUN_23e93df40,FUN_23aaa2cd0,_DAT_23ed90ce8,79,3,_DAT_23ed8fcd0,_DAT_23ed8fc40,_DAT_23ed902e0,uVar24,1017,
__main__,23ab05a70,FUN_23e93e1e0,FUN_23aaa5380,_DAT_23ed90cd0,117,3,DAT_23ed6cdb0,_DAT_23ed90248,_DAT_23ed902c8,uVar12,1415,
__main__,23ab05a70,FUN_23e93e1e0,FUN_23aaa88f0,DAT_23ed90c88,165,3,_DAT_23ed8ffd8,_DAT_23ed90258,_DAT_23ed902d0,uVar24,1424,
__main__,23ab05a70,FUN_23e93e480,FUN_23aaa9730,DAT_23ed90c78,185,3,DAT_23ed8fda8,_DAT_23ed90270,_DAT_23ed90320,2,1436,
__main__,23ab05a70,FUN_23e93e1e0,FUN_23aaaaad0,DAT_23ed90c60,223,3,_DAT_23ed8fed8,_DAT_23ed90280,_DAT_23ed90300,2,1445,
__main__,23ab05a70,FUN_23e93e1e0,FUN_23aaab8b0,_DAT_23ed90c50,249,3,_DAT_23ed8fd80,_DAT_23ed90288,_DAT_23ed902e8,uVar24,1455,
__main__,23ab05a70,FUN_23e93e1e0,FUN_23aaac430,_DAT_23ed90c40,271,3,DAT_23ed8fe98,_DAT_23ed90290,_DAT_23ed90318,2,1465,
__main__,23ab05a70,FUN_23e93e1e0,FUN_23aaaf2c0,_DAT_23ed90c30,328,3,_DAT_23ed900c0,_DAT_23ed902a0,_DAT_23ed90310,1,1475,
__main__,23ab05a70,FUN_23e93df40,FUN_23aab14c0,_DAT_23ed90c18,374,3,_DAT_23ed902a8,_DAT_23ed900c8,_DAT_23ed902f0,uVar24&0xffffffff00000000,1546,
__parents_main__,23ab0ad70,FUN_23e93df40,DAT_23aab37d0,DAT_23ed90b38,29,3,DAT_23ed8f4b8,DAT_23ed8f360,DAT_23ed8fb28,1,968,
__parents_main__,23ab0ad70,FUN_23e93df40,FUN_23ab09180,DAT_23ed90b28,51,3,DAT_23ed8f880,DAT_23ed8f3d0,DAT_23ed8faf8,uVar24,971,
__parents_main__,23ab0ad70,FUN_23e93df40,FUN_23aab4840,DAT_23ed90b10,79,3,DAT_23ed8f4a0,DAT_23ed8f420,DAT_23ed8fb00,uVar24,974,
__parents_main__,23ab0ad70,FUN_23e93e1e0,FUN_23aab6ef0,DAT_23ed90af8,117,3,DAT_23ed6cdb0,DAT_23ed8fa50,DAT_23ed8fae0,uVar24,1309,
__parents_main__,23ab0ad70,FUN_23e93e1e0,FUN_23aaba460,DAT_23ed90ab0,165,3,DAT_23ed8f7a8,DAT_23ed8fa60,DAT_23ed8faf0,uVar24,1321,
__parents_main__,23ab0ad70,FUN_23e93e480,FUN_23aabb2a0,DAT_23ed90aa0,185,3,DAT_23ed8f578,DAT_23ed8fa78,DAT_23ed8fb40,2,1336,
__parents_main__,23ab0ad70,FUN_23e93e1e0,FUN_23aabc640,DAT_23ed90a88,223,3,DAT_23ed8f6a8,DAT_23ed8fa88,DAT_23ed8fb20,2,1349,
__parents_main__,23ab0ad70,FUN_23e93e1e0,FUN_23aabd420,DAT_23ed90a78,249,3,DAT_23ed8f550,DAT_23ed8fa90,DAT_23ed8fb08,uVar24,1362,
__parents_main__,23ab0ad70,FUN_23e93e1e0,FUN_23aabdfa0,DAT_23ed90a68,271,3,DAT_23ed8f668,DAT_23ed8fa98,DAT_23ed8fb38,2,1375,
__parents_main__,23ab0ad70,FUN_23e93e1e0,FUN_23aac0e30,DAT_23ed90a58,328,3,DAT_23ed8f890,DAT_23ed8faa8,DAT_23ed8fb30,1,1388,
