string_address,string_label,ref_from,ref_type,ref_function_entry,ref_function_name
"23ec319e7","s___parents_main__-preLoad_23ec319e7","23aab33b8","DATA","23aab2da0","FUN_23aab2da0"
"23ec31af8","s___main___23ec31af8","23ab069d0","DATA","23ab05a70","FUN_23ab05a70"
"23ec31b01","s___parents_main___23ec31b01","23ab0bc08","DATA","23ab0ad70","FUN_23ab0ad70"
"23ec43a69","s_config_manager_23ec43a69","23c004b30","DATA","23c003b30","FUN_23c003b30"
"23ec47a74","s_license.hwid_generator_23ec47a74","23c622b90","DATA","23c621fd0","FUN_23c621fd0"
"23ec47b2a","s_license.license_client_23ec47b2a","23c63c900","DATA","23c63bab0","FUN_23c63bab0"
"23ec47b9e","s_license.activation_dialog_23ec47b9e","23c6595c0","DATA","23c658710","FUN_23c658710"
"23ec5a2e9","s_telegram.handlers_23ec5a2e9","23e113250","DATA","",""
"23ec5a300","s_telegram.handlers.fish_names_map_23ec5a300","23e114180","DATA","23e113b10","FUN_23e113b10"
"23ec5a330","s_telegram.handlers.fishing_handle_23ec5a330","23e11a320","DATA","23e1194c0","FUN_23e1194c0"
"23ec5a360","s_telegram.handlers.menu_handler_23ec5a360","23e11f610","DATA","23e11e9d0","FUN_23e11e9d0"
"23ec5a390","s_telegram.handlers.notifications__23ec5a390","23e124f00","DATA","23e1243e0","FUN_23e1243e0"
"23ec5a3b8","s_telegram.handlers.screenshot_han_23ec5a3b8","23e127a00","DATA","23e126df0","FUN_23e126df0"
"23ec5a410","s_telegram.handlers.system_handler_23ec5a410","23e12bc40","DATA","23e12b100","FUN_23e12b100"
"23ec5a440","s_telegram.notification_manager_23ec5a440","23e136ed0","DATA","23e135d90","FUN_23e135d90"
"23ec5a53b","s_telegram.bot_manager_23ec5a53b","23e1539b0","DATA","23e152d50","FUN_23e152d50"
"23ec5b35e","s_ui.fish_settings_dialog_23ec5b35e","23e27d9b8","DATA","23e27d000","FUN_23e27d000"
"23ec5b3f6","s_ui.fishing_tab_23ec5b3f6","23e29fa40","DATA","23e29f090","FUN_23e29f090"
"23ec5b405","s_ui.garbage_settings_dialog_23ec5b405","23e2b2688","DATA","23e2b1cd0","FUN_23e2b1cd0"
"23ec5b461","s_ui.home_tab_23ec5b461","23e2d7100","DATA","23e2d6140","FUN_23e2d6140"
"23ec5b475","s_ui.hotkey_dialog_23ec5b475","23e2e4540","DATA","23e2e37c0","FUN_23e2e37c0"
"23ec5b493","s_ui.hotkey_listener_23ec5b493","23e2f2330","DATA","23e2f1040","FUN_23e2f1040"
"23ec5b4e0","s_ui.ios_toggle_23ec5b4e0","23e2f8098","DATA","23e2f7330","FUN_23e2f7330"
"23ec5b632","s_ui.main_window_23ec5b632","23e311eb7","DATA","23e311500","FUN_23e311500"
"23ec5b6e8","s_ui.styles_23ec5b6e8","23e316580","DATA","23e315970","FUN_23e315970"
"23ec5b7bd","s_ui.telegram_tab_23ec5b7bd","23e324360","DATA","23e3235b0","FUN_23e3235b0"
"23ec5dd05","s_workers.fishing_23ec5dd05","23e6f0a40","DATA","",""
"23ec5de48","s_workers.fishing.casting_a_fishin_23ec5de48","23e709858","DATA","23e707a40","FUN_23e707a40"
"23ec5def0","s_workers.fishing.fish_recognition_23ec5def0","23e71c268","DATA","23e71b350","FUN_23e71b350"
"23ec5e04c","s_workers.fishing.fishing_bot_23ec5e04c","23e781730","DATA","23e780c30","FUN_23e780c30"
"23ec5e080","s_workers.fishing.garbage_disposal_23ec5e080","23e7a7a78","DATA","23e7a69a0","FUN_23e7a69a0"
"23ec5e0ad","s_workers.fishing.hooking_23ec5e0ad","23e7c1630","DATA","23e7c0770","FUN_23e7c0770"
"23ec5e2fb","s_workers.fishing.meal_system_23ec5e2fb","23e7dedd0","DATA","23e7ddc40","FUN_23e7ddc40"
"23ec5e468","s_workers.fishing.memory_fish_read_23ec5e468","23e7fc280","DATA","23e7fb4a0","FUN_23e7fb4a0"
"23ec5e568","s_workers.fishing.memory_reeling_23ec5e568","23e8231c0","DATA","23e81e380","FUN_23e81e380"
"23ec5e5a1","s_workers.fishing.path_utils_23ec5e5a1","23e828790","DATA","23e827d60","FUN_23e827d60"
"23ec5e5ca","s_workers.fishing.store_fish_23ec5e5ca","23e830408","DATA","23e82f430","FUN_23e82f430"
"23ec5e5f8","s_workers.fishing.trigger_monitor_23ec5e5f8","23e844778","DATA","23e843640","FUN_23e843640"
"23ec5e630","s_workers.fishing.window_activator_23ec5e630","23e855a80","DATA","23e8549f0","FUN_23e8549f0"
"23ec5e660","s_workers.fishing.window_capture_23ec5e660","23e85f658","DATA","23e85df00","FUN_23e85df00"
"23ec6374d","s___main___23ec6374d","23e982aa5","DATA","23e980ff0","FUN_23e980ff0"
"23ec6374d","s___main___23ec6374d","23e982b7e","DATA","23e980ff0","FUN_23e980ff0"
"23ec6374d","s___main___23ec6374d","23e982e7e","DATA","23e980ff0","FUN_23e980ff0"
"23ec6374d","s___main___23ec6374d","23e983118","DATA","23e980ff0","FUN_23e980ff0"
"23ec6374d","s___main___23ec6374d","23e987bee","DATA","23e987af0","FUN_23e987af0"
"23ec63a9e","s___parents_main___23ec63a9e","23e9830b1","DATA","23e980ff0","FUN_23e980ff0"
"23ec6cd10","s_telegram.bot_manager_23ec6cd10","23ec20b00","DATA","",""
"23ec6cd25","s_telegram.handlers_23ec6cd25","23ec20b20","DATA","",""
"23ec6cd38","s_telegram.handlers.fish_names_map_23ec6cd38","23ec20b40","DATA","",""
"23ec6cd60","s_telegram.handlers.fishing_handle_23ec6cd60","23ec20b60","DATA","",""
"23ec6cd88","s_telegram.handlers.menu_handler_23ec6cd88","23ec20b80","DATA","",""
"23ec6cda8","s_telegram.handlers.notifications__23ec6cda8","23ec20ba0","DATA","",""
"23ec6cdd0","s_telegram.handlers.screenshot_han_23ec6cdd0","23ec20bc0","DATA","",""
"23ec6cdf8","s_telegram.handlers.system_handler_23ec6cdf8","23ec20be0","DATA","",""
"23ec6ce19","s_telegram.notification_manager_23ec6ce19","23ec20c00","DATA","",""
"23ec6ceac","s_ui.fish_settings_dialog_23ec6ceac","23ec20ce0","DATA","",""
"23ec6cec4","s_ui.fishing_tab_23ec6cec4","23ec20d00","DATA","",""
"23ec6ced3","s_ui.garbage_settings_dialog_23ec6ced3","23ec20d20","DATA","",""
"23ec6ceee","s_ui.home_tab_23ec6ceee","23ec20d40","DATA","",""
"23ec6cefa","s_ui.hotkey_dialog_23ec6cefa","23ec20d60","DATA","",""
"23ec6cf0b","s_ui.hotkey_listener_23ec6cf0b","23ec20d80","DATA","",""
"23ec6cf1e","s_ui.ios_toggle_23ec6cf1e","23ec20da0","DATA","",""
"23ec6cf2c","s_ui.main_window_23ec6cf2c","23ec20dc0","DATA","",""
"23ec6cf3b","s_ui.styles_23ec6cf3b","23ec20de0","DATA","",""
"23ec6cf45","s_ui.telegram_tab_23ec6cf45","23ec20e00","DATA","",""
"23ec6d418","s_workers.fishing_23ec6d418","23ec217a0","DATA","",""
"23ec6d428","s_workers.fishing.casting_a_fishin_23ec6d428","23ec217c0","DATA","",""
"23ec6d450","s_workers.fishing.fish_recognition_23ec6d450","23ec217e0","DATA","",""
"23ec6d471","s_workers.fishing.fishing_bot_23ec6d471","23ec21800","DATA","",""
"23ec6d490","s_workers.fishing.garbage_disposal_23ec6d490","23ec21820","DATA","",""
"23ec6d4b1","s_workers.fishing.hooking_23ec6d4b1","23ec21840","DATA","",""
"23ec6d4c9","s_workers.fishing.meal_system_23ec6d4c9","23ec21860","DATA","",""
"23ec6d4e8","s_workers.fishing.memory_fish_read_23ec6d4e8","23ec21880","DATA","",""
"23ec6d510","s_workers.fishing.memory_reeling_23ec6d510","23ec218a0","DATA","",""
"23ec6d54a","s_workers.fishing.store_fish_23ec6d54a","23ec218e0","DATA","",""
"23ec6d568","s_workers.fishing.trigger_monitor_23ec6d568","23ec21900","DATA","",""
"23ec6d588","s_workers.fishing.window_activator_23ec6d588","23ec21920","DATA","",""
"23ec6d5b0","s_workers.fishing.window_capture_23ec6d5b0","23ec21940","DATA","",""
