relative_path,group,type,size,width,height,sha256,path
fishing\fish2k\albula.png,fishing,png,55178,415,250,d97a77fbc79c013f29cd5524024fe34f0f904338cd3a04784e37fe3d81977e00,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\albula.png
fishing\fish2k\ancient_gyneria.png,fishing,png,72439,415,250,4b3ff755d4f3f8a77b2363b11877b566d1b49e72d1f077e2679ac9406bed0d4f,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\ancient_gyneria.png
fishing\fish2k\barracuda.png,fishing,png,38354,415,250,7c1e586f11dc6d6e0b8b8264e330b80ebd9a414b7613947a2b25d23c6e88839e,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\barracuda.png
fishing\fish2k\bream_leshch.png,fishing,png,79087,415,250,25c718b0f9021bc7ce223c1cb8b57d8687440989495ef8513889a29233a173e0,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\bream_leshch.png
fishing\fish2k\common_snook.png,fishing,png,50388,415,250,397975e3d7cb19a3de49b93542d52684a0f2ab9320dbd626deb148a6b2de5b66,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\common_snook.png
fishing\fish2k\golavl.png,fishing,png,57346,415,250,774c810faf44a8ed5fcbe34196cf084b4c09dd97a7b309683f8f8663d21da177,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\golavl.png
fishing\fish2k\korichnevy_som.png,fishing,png,67598,415,250,25415c4139803e0e24d7187aaa836840279c6604139069458c793b7878694d61,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\korichnevy_som.png
fishing\fish2k\krasny_gorbyl.png,fishing,png,59352,415,250,5d471d3b41075a6ef4d5ae32fa7a9d602de699d85f626935383af487aaddf266,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\krasny_gorbyl.png
fishing\fish2k\krugly_trahinot.png,fishing,png,62751,415,250,c166a6fd960ecfd2ada5461294dad63adece2005f9b4dfe42928c027383f1278,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\krugly_trahinot.png
fishing\fish2k\marlin.png,fishing,png,49670,415,250,28099ea2925a06a27500609c6829b20de917028e30d8e6b8856d5027d5edaabd,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\marlin.png
fishing\fish2k\obyknovennaya_shchuka.png,fishing,png,72132,415,250,3d891f27d41125e8ff985b0088ab8fe6c676e5ebca0e1337eee8be3c81d4c951,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\obyknovennaya_shchuka.png
fishing\fish2k\polosaty_lavrak.png,fishing,png,66607,415,250,bb74dabe619355b6e8917690dcdd2525bba6a20a3b305748801f4b30526683d8,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\polosaty_lavrak.png
fishing\fish2k\pribrezhny_bass.png,fishing,png,72564,415,250,3e6b8cfff58a396cd3626c16984b61f17ddb96b5f2a61a0e142d735bbbcadff4,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\pribrezhny_bass.png
fishing\fish2k\raduzhnaya_forel.png,fishing,png,66882,415,250,e49f63dc2674dbf40ccad5d64c3cef82c77196f92e32207526a770afd50e6ab7,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\raduzhnaya_forel.png
fishing\fish2k\rechnoy_okun.png,fishing,png,75503,415,250,13d5f72ff0fc53d8c9fff08b3f36ecd9c34ee5578270a856f6c18439d3d7575f,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\rechnoy_okun.png
fishing\fish2k\roach_plotva.png,fishing,png,61934,415,250,8bcf79cdcb681494c2feb3579632750e87014ad71b4b537df583b659ddf51d44,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\roach_plotva.png
fishing\fish2k\roach_vobla.png,fishing,png,84297,415,250,cdfe2cfac3e6994274ee4b8896cd2b1720dae9ac7c3b1804ac2f2c11de86cab5,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\roach_vobla.png
fishing\fish2k\rudd_krasnoperka.png,fishing,png,66897,415,250,f54afbd167690dd56bc4c8aa16c398b660bb073d586febd16fbd985f40c72532,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\rudd_krasnoperka.png
fishing\fish2k\ruster.png,fishing,png,67864,415,250,c53f7e2fa97884151d77e59b5b38a59c0702a3435465885e908db5c3f4ec2789,P:\projects\Majestic\Sonar\01_reverse_engineering\kortexworker.exe_extracted_noskip\resources\fishing\fish2k\ruster.png
