trigger	profile	historical_source_file	historical_source_sha256	embedded_file	embedded_sha256	width	height	bytes	format
ad	fullhd	AD.png	054413586BCF4F102586B4CDC54B6154428A1C4A57257F3442A13554976B6793	AD.pgm	E82A54A3764C819F9FC488D6DABF35E383DD2CB6C9514CB21CB7FB412AF167B9	58	28	1637	P5-gray8
ad	2k	AD_2k.png	8B261266B3C2E35C8BEBA7C0E8DD8BEB8E8FF71A7D6109A7E8EB36FCC1637D12	AD_2k.pgm	151953132EFEF1D6EF0EE6014C1495E14990ED6607D654EDED0D6FAB41F8768E	77	36	2785	P5-gray8
start	fullhd	start_action.png	187100C89E9C963CCBF0946B24D1E47153B0D411BA124042A6086730606DE643	start_action.pgm	036C74EC3E152612200F4CB2565F4B216EC2674327F6EC032823BFDA25537F40	158	12	1910	P5-gray8
start	2k	start_action_2k.png	6C29C7588F824CF9E292BD0A8C6D93EC19504310A310EEB7E3104CBA292E2A95	start_action_2k.pgm	0FAB646D0648735C5BF733A9FD9EB57A4B75C9381613750AD6C1C596912A282C	208	17	3550	P5-gray8
start1	fullhd	cast_action.png	A5622B09641E66763B46033B5811D325A4F99E7623A204FEE24DDD8C673DADB2	cast_action.pgm	A8F9152EB442E2FEAB4688E8D9EC33F6E647E190046DC8CC0DF98127CF2973E9	165	11	1829	P5-gray8
start1	2k	cast_action_2k.png	30D9F93150FAC4E0D56150B5C081130ECF460411F230485675E51E0FD2968DB6	cast_action_2k.pgm	4C7F636BACF9CB1296855F1307350D2EA0C78A7622AABFA9EC55607DB97B0893	223	18	4028	P5-gray8
start2	fullhd	hook_action.png	BE886B73352C8CABF01AE8A770A686D1592170F4AA8FFA58DDFCCF0EB4F9BE1E	hook_action.pgm	0736720272A7CAB1C1A306749EBE4E46E8D432D29DF4C4D83F200040BD3F2BAD	147	12	1778	P5-gray8
start2	2k	hook_action_2k.png	299CA1221A10C6D8870939B7556B96AFD6E7378FFF8288FE472A642747E02627	hook_action_2k.pgm	DBD8E8C676175B97F253CE2552338801210C4803CA96074370CFED2A6D120F3F	189	16	3038	P5-gray8
wait_tension	fullhd	wait_tension.png	8E11FDC76A18B8F882838B29F85808C3E0934AAC88D3D42BE69A842F5C271312	wait_tension.pgm	E1E618E8958F0C89E969DE758C390380F3EC0F2E52CE14815765E30F3D496469	190	175	33265	P5-gray8
wait_tension	2k	wait_tension_2k.png	9E67A8697891CC2210DBA035351CA6E50DF1645351DDB261CF8AFD8D8FF40C5B	wait_tension_2k.pgm	51F58CA37702F27584EF3E4A30787018064F1B6724B6B2441601BBEE5725331B	240	260	62415	P5-gray8
